iter	Passed	Remaining
399	66394	6805
400	66546	6638
401	66704	6471
402	66869	6305
403	67046	6140
404	67250	5977
405	67394	5809
406	67536	5641
407	67700	5475
408	67866	5309
409	67987	5140
410	68165	4975
411	68334	4809
412	68473	4642
413	68641	4476
414	68783	4309
415	68938	4142
416	69088	3976
417	69252	3810
418	69432	3645
419	69650	3482
420	69800	3315
421	69925	3148
422	70107	2983
423	70294	2818
424	70440	2651
425	70594	2485
426	70770	2320
427	70964	2155
428	71117	1989
429	71254	1822
430	71436	1657
431	71651	1492
432	71847	1327
433	72007	1161
434	72154	995
435	72325	829
436	72514	663
437	72674	497
438	72827	331
439	72947	165
440	73136	0
