iter	Logloss
0	0.6115860067
1	0.5423649396
2	0.4866433255
3	0.4423913657
4	0.408456489
5	0.3762596675
6	0.3513335572
7	0.3305247696
8	0.3110606782
9	0.295884561
10	0.2830622861
11	0.2719717212
12	0.2629939621
13	0.2562271604
14	0.2487003874
15	0.2436579404
16	0.2389758598
17	0.2351461712
18	0.2315336682
19	0.2280953842
20	0.2251974474
21	0.2223291596
22	0.2195820888
23	0.217552418
24	0.2156472355
25	0.2139558306
26	0.2127041753
27	0.2111745541
28	0.2099214
29	0.208715666
30	0.2077078797
31	0.2064428044
32	0.2053618008
33	0.2044874032
34	0.2034728599
35	0.2027768542
36	0.2020563135
37	0.2015735187
38	0.200970355
39	0.200249516
40	0.1996073217
41	0.1990093134
42	0.1983687251
43	0.1979053494
44	0.1974271085
45	0.1969045239
46	0.1962545307
47	0.1959358928
48	0.1953875859
49	0.1949060554
50	0.1942957252
51	0.1937709951
52	0.1934300806
53	0.1929974059
54	0.1925441725
55	0.1922930493
56	0.1920078238
57	0.1916444327
58	0.1914133075
59	0.1910935679
60	0.1905451639
61	0.1901352754
62	0.1899023734
63	0.1895903966
64	0.1892322676
65	0.1890401698
66	0.1888112875
67	0.1884715946
68	0.1882431336
69	0.1880052897
70	0.1878162024
71	0.1875858086
72	0.1873650372
73	0.1871124556
74	0.1867913309
75	0.1866360707
76	0.186427188
77	0.1862149729
78	0.1860011343
79	0.1857489684
80	0.1853639205
81	0.1852009987
82	0.1849262967
83	0.1848351407
84	0.1845708646
85	0.1842851668
86	0.1841666405
87	0.1838853111
88	0.1836947183
89	0.183448641
90	0.1831871539
91	0.1830775892
92	0.1827789002
93	0.1825940045
94	0.182373885
95	0.182227639
96	0.1820139777
97	0.1818622767
98	0.1817429133
99	0.1815824701
100	0.1813529577
101	0.1811428822
102	0.1809873654
103	0.1808955365
104	0.1807519381
105	0.1805535312
106	0.1804008029
107	0.1802662315
108	0.180077591
109	0.1798800041
110	0.1796818386
111	0.1795600001
112	0.1793977644
113	0.1792516394
114	0.179030335
115	0.1787299322
116	0.1785394067
117	0.1783979212
118	0.1782650101
119	0.1781099333
120	0.1779791631
121	0.1778576168
122	0.1777734484
123	0.1775939573
124	0.1773961252
125	0.177277128
126	0.1770967119
127	0.1769709016
128	0.1767873978
129	0.1765991854
130	0.1764738543
131	0.1763525342
132	0.1762166644
133	0.1761431431
134	0.1759390003
135	0.1757700676
136	0.175571361
137	0.1754307454
138	0.1753109327
139	0.1751115697
140	0.1749821525
141	0.1747594849
142	0.1746222753
143	0.1744674013
144	0.1743745181
145	0.1741701786
146	0.1740801713
147	0.1739016682
148	0.173805313
149	0.1737152983
150	0.1735612039
151	0.1734882295
152	0.1733464226
153	0.1730979893
154	0.172968181
155	0.172862494
156	0.1727586434
157	0.1726904508
158	0.1725684023
159	0.1724612025
160	0.1723644274
161	0.1722638215
162	0.172137085
163	0.1719855121
164	0.1718490409
165	0.1717304379
166	0.1716138373
167	0.1715682812
168	0.1714189158
169	0.1712238255
170	0.1710920872
171	0.1709330981
172	0.1708185125
173	0.170695883
174	0.1705854246
175	0.1703994313
176	0.1703374286
177	0.1702070128
178	0.170036688
179	0.1699413214
180	0.169792434
181	0.1696777083
182	0.1696003646
183	0.1694211381
184	0.1693553366
185	0.1691991534
186	0.1690807985
187	0.1689199884
188	0.1688041689
189	0.1686026079
190	0.1684846474
191	0.1683308783
192	0.1681691378
193	0.1680514938
194	0.1679352218
195	0.1678208746
196	0.1676664341
197	0.167472744
198	0.1672985258
199	0.1671911972
200	0.1670720367
201	0.1669454448
202	0.1667923505
203	0.1666437062
204	0.1665546388
205	0.1664656411
206	0.1663728725
207	0.1662829756
208	0.1661215279
209	0.1660802429
210	0.1659119793
211	0.1658116831
212	0.1657160626
213	0.165543455
214	0.1654457538
215	0.1652819959
216	0.1651602928
217	0.1650336135
218	0.1649096209
219	0.1647764359
220	0.1646970997
221	0.1645591552
222	0.1644045003
223	0.1642933593
224	0.1641902228
225	0.1640800216
226	0.1639985405
227	0.1638904382
228	0.1638039376
229	0.1636925757
230	0.1635657409
231	0.1634686276
232	0.1633261167
233	0.1632010635
234	0.1630872872
235	0.1629863963
236	0.1628170788
237	0.1627249924
238	0.1625524785
239	0.1624598793
240	0.1623852847
241	0.1623076659
242	0.1621784951
243	0.1621454567
244	0.1620244667
245	0.1619457033
246	0.161816172
247	0.1617195422
248	0.1615967334
249	0.1614868212
250	0.1614397475
251	0.1613520939
252	0.1612751943
253	0.1611920963
254	0.1611081242
255	0.1609976923
256	0.1608641722
257	0.1607353524
258	0.1606545419
259	0.1604998935
260	0.1603490182
261	0.1602678551
262	0.1602001965
263	0.1600584737
264	0.1599780279
265	0.1599098382
266	0.1598247796
267	0.1597345395
268	0.159628095
269	0.1595379987
270	0.1594521007
271	0.1593537339
272	0.1592943369
273	0.1592279885
274	0.1591369815
275	0.1590402003
276	0.1589511197
277	0.1587980476
278	0.1587326519
279	0.1585853503
280	0.1585107402
281	0.1584494534
282	0.158369042
283	0.1583032194
284	0.1582140579
285	0.158119026
286	0.15802734
287	0.1579549933
288	0.1578468693
289	0.1577677056
290	0.1577066718
291	0.15766394
292	0.1575821049
293	0.1575050196
294	0.1574257683
295	0.1572944579
296	0.157161072
297	0.1570737254
298	0.1569896599
299	0.1568988285
300	0.1568491579
301	0.156782467
302	0.1567136509
303	0.1565858445
304	0.1565375578
305	0.1564510285
306	0.156410465
307	0.1563306847
308	0.1562816342
309	0.1562054833
310	0.1561635065
311	0.156060663
312	0.1559749932
313	0.1558997479
314	0.1557922395
315	0.1557165652
316	0.1556207447
317	0.1555453587
318	0.1554538371
319	0.1553632118
320	0.1552522002
321	0.1551360425
322	0.1550606456
323	0.1549868163
324	0.1549242788
325	0.1548773963
326	0.1547752586
327	0.1547407863
328	0.1546363999
329	0.1545857704
330	0.1545320032
331	0.1544696351
332	0.1543395079
333	0.1542453761
334	0.1541393755
335	0.154044726
336	0.1539758011
337	0.1538496052
338	0.1538047516
339	0.1537553033
340	0.1536569823
341	0.153587253
342	0.1534894259
343	0.1533965522
344	0.1533369052
345	0.153268706
346	0.153210079
347	0.153146401
348	0.1530921031
349	0.1530256977
350	0.1529509872
351	0.1529044596
352	0.152822789
353	0.1527335567
354	0.1526664075
355	0.1525889802
356	0.1525465047
357	0.1524934996
358	0.152442346
359	0.1523711978
360	0.1522943769
361	0.1522275579
362	0.1521816317
363	0.1520825542
364	0.1520133176
365	0.1519675127
366	0.1519261533
367	0.1518725119
368	0.1517867446
369	0.1516935891
370	0.1516351141
371	0.1515301521
372	0.1514974212
373	0.1514160199
374	0.1512996447
375	0.1512359206
376	0.1511430604
377	0.1510434965
378	0.150970899
379	0.1509150824
