iter	Logloss
380	0.1508570197
381	0.1507695003
382	0.1506595958
383	0.1505841414
384	0.1505047474
385	0.1504349587
386	0.1503766493
387	0.1502780852
388	0.1501870865
389	0.1501139545
390	0.1500168116
391	0.1499693608
392	0.1499105571
393	0.1498316197
394	0.1497705643
395	0.1496650069
396	0.1496186468
397	0.1495670421
398	0.149490475
399	0.1494044601
400	0.1493504378
401	0.1492957379
402	0.1492311379
403	0.1491761188
404	0.1490664545
405	0.1490396301
406	0.1489948999
407	0.1489015444
408	0.1488377809
409	0.1488132662
410	0.1487588981
411	0.1487016508
412	0.1486564205
413	0.148589974
414	0.1485613685
415	0.1484883131
416	0.1484298493
417	0.1483457179
418	0.1482633305
419	0.1481097017
420	0.1480518343
421	0.1480263612
422	0.1479234421
423	0.1478596796
424	0.1477980988
425	0.1477406654
426	0.1476891973
427	0.1476097356
428	0.1475348908
429	0.1474761852
430	0.1474338027
431	0.1473712716
432	0.1473143142
433	0.1472261183
434	0.1471918261
435	0.1471316845
436	0.1470875653
437	0.147039855
438	0.1469711484
439	0.1469403271
440	0.1468741731
